state,name,indUF,indCAP,indInland,date
25,PB,42.901518362968,45.3339364049904,42.2916690470966,06-May-2020 00:00:00
25,PB,42.7038688880823,45.0360209787163,42.11915798214,07-May-2020 00:00:00
25,PB,42.9817632312367,45.3016471596005,42.4001281659757,08-May-2020 00:00:00
25,PB,43.3347661073526,45.6873898276052,42.7449226094373,09-May-2020 00:00:00
25,PB,43.5730362660557,45.9130198861228,42.9863618600964,10-May-2020 00:00:00
25,PB,43.9128540226637,46.2862104763868,43.3178124695191,11-May-2020 00:00:00
25,PB,44.9604222300268,47.416359058918,44.3446763471039,12-May-2020 00:00:00
25,PB,45.5627398752594,47.6835000188334,45.0310285902984,13-May-2020 00:00:00
25,PB,46.5796129110117,48.6979147066844,46.0485179764312,14-May-2020 00:00:00
25,PB,46.5560222308731,48.6029099137971,46.0428320507595,15-May-2020 00:00:00
25,PB,46.3153552548534,48.3920912397243,45.7946815886746,16-May-2020 00:00:00
25,PB,46.2037735278955,48.3092525720638,45.675893479119,17-May-2020 00:00:00
25,PB,45.9249866802281,48.0204023725959,45.3996296879759,18-May-2020 00:00:00
25,PB,45.1712861855888,47.1563007731343,44.6736086617027,19-May-2020 00:00:00
25,PB,45.5681834668709,47.9773785051534,44.9641565600996,20-May-2020 00:00:00
25,PB,45.9026341742253,48.3236952798599,45.2956322389303,21-May-2020 00:00:00
25,PB,45.8702770673855,48.2869576331106,45.2643734092866,22-May-2020 00:00:00
25,PB,45.7549606782627,48.1015719732308,45.16662459946,23-May-2020 00:00:00
25,PB,45.4329690281013,47.8064385576401,44.837899124892,24-May-2020 00:00:00
25,PB,45.2027811872239,NaN,NaN,25-May-2020 00:00:00
25,PB,44.9564576374881,NaN,NaN,26-May-2020 00:00:00
25,PB,44.2174611289157,NaN,NaN,27-May-2020 00:00:00
25,PB,43.6794290013825,NaN,NaN,28-May-2020 00:00:00
26,PE,30.0998662268155,30.3267436269033,30.0524905368396,01-Mar-2020 00:00:00
26,PE,30.3162972286506,30.6168452661521,30.2535379117595,02-Mar-2020 00:00:00
26,PE,31.856437138601,32.430449105623,31.7365741069303,03-Mar-2020 00:00:00
26,PE,32.0174260335336,32.6293743791738,31.8896412691935,04-Mar-2020 00:00:00
26,PE,31.9947872817675,32.5764674370858,31.8733230077022,05-Mar-2020 00:00:00
26,PE,32.1490922927301,32.5700774121963,32.0611837549182,06-Mar-2020 00:00:00
26,PE,32.2694904082699,32.6370907112725,32.1927294881282,07-Mar-2020 00:00:00
26,PE,32.0618456784667,32.3401315828183,32.0037350569411,08-Mar-2020 00:00:00
26,PE,32.2929539540319,32.3654848704911,32.2778083193829,09-Mar-2020 00:00:00
26,PE,31.2366329668731,30.9726331437339,31.2917604223618,10-Mar-2020 00:00:00
26,PE,31.7440285612242,31.2255094107169,31.8523037905396,11-Mar-2020 00:00:00
26,PE,32.1278645992183,31.6404886181354,32.2296366283959,12-Mar-2020 00:00:00
26,PE,32.8843474928627,32.707023135091,32.9213757019118,13-Mar-2020 00:00:00
26,PE,33.5375655807563,33.6372219655623,33.516755707279,14-Mar-2020 00:00:00
26,PE,34.8991272047768,35.2582164273089,34.8241435366205,15-Mar-2020 00:00:00
26,PE,36.2306169995555,37.0403721008762,36.0615269684562,16-Mar-2020 00:00:00
26,PE,37.6936920510486,38.9556868382717,37.4301670204922,17-Mar-2020 00:00:00
26,PE,39.9490348898883,41.9381335387365,39.5336787509214,18-Mar-2020 00:00:00
26,PE,42.4132795210541,44.8360257686778,41.9073707127141,19-Mar-2020 00:00:00
26,PE,45.4493417905423,48.2322380740754,44.8682277989649,20-Mar-2020 00:00:00
26,PE,48.5037831353251,51.6737955576907,47.8418329997735,21-Mar-2020 00:00:00
26,PE,50.9072087761665,54.4078066800061,50.1762270170384,22-Mar-2020 00:00:00
26,PE,52.9510925772146,56.6967774096525,52.1689326824859,23-Mar-2020 00:00:00
26,PE,54.7378641431608,58.6303571053534,53.9250483239615,24-Mar-2020 00:00:00
26,PE,55.1503608873756,58.9535271897222,54.3561979271291,25-Mar-2020 00:00:00
26,PE,54.9015730735969,58.6481991615962,54.119216629403,26-Mar-2020 00:00:00
26,PE,54.4195176878456,58.22155962612,53.6255895130987,27-Mar-2020 00:00:00
